Section,Date,Topics,Resource Name,Type,Link
Supervised Learning,Wed 03/05,SVMs and KNNs,"UML - Chapters 15, 19",reading,https://www.cs.huji.ac.il/~shais/UnderstandingMachineLearning/copy.html
Supervised Learning,Wed 03/05,SVMs and KNNs,Panopto,video,https://notredame.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=a38cd616-4164-463e-a3f1-b29701687382
Supervised Learning,Wed 03/05,SVMs and KNNs,Harvard CS50 (0:00 - 12:30 and 33:29 - 39:41),video,https://www.youtube.com/watch?v=-g0iJjnO2_w
Supervised Learning,Wed 03/05,SVMs and KNNs,MIT 6.034 SVMs,video,https://www.youtube.com/watch?v=_PwhiWxHK8o
Supervised Learning,Wed 03/05,SVMs and KNNs,MIT 6.034 KNNs,video,https://www.youtube.com/watch?v=09mb78oiPkA
Supervised Learning,Wed 03/05,SVMs and KNNs,Cornell CS4780 KNNs,video,https://youtu.be/oymtGlGdT-k?si=Lg6X6xXHV2BlrJsF
Supervised Learning,Wed 03/05,SVMs and KNNs,Cornell CS4780 SVMs 1,video,https://youtu.be/xpHQ6UhMlx4?si=o64fVVn6-FDP3Ar3
Supervised Learning,Wed 03/05,SVMs and KNNs,Cornell CS4780 SVMs 2,video,https://youtu.be/RwF1esLCG4U?si=780GX0R-c0qWDogU
Supervised Learning,Wed 03/05,SVMs and KNNs,SVMs (StatQuest),video,https://youtu.be/efR1C6CvhmE?si=i5q-s8QuxKEAQ3Az
Supervised Learning,Wed 03/05,SVMs and KNNs,KNN (StatQuest),video,https://youtu.be/HVXime0nQeI?si=vUOtkw1Q6nxt9Aj3
Unsupervised Learning,Mon 03/17,Clustering,Slides,reading,https://drive.google.com/file/d/1h-f4JpjdasM5h_46AY4DJWd_O7dAD6De/view?usp=sharing
Unsupervised Learning,Mon 03/17,Clustering,FCA - Section 10.3,reading,https://artint.info/3e/html/ArtInt3e.Ch10.S3.html
Unsupervised Learning,Mon 03/17,Clustering,PML - Chapter 21,reading,https://probml.github.io/pml-book/book1.html
Unsupervised Learning,Mon 03/17,Clustering,ISLP - Section 12.4,reading,https://www.statlearning.com/
Unsupervised Learning,Mon 03/17,Clustering,UML - Chapter 22,reading,https://www.cs.huji.ac.il/~shais/UnderstandingMachineLearning/copy.html
Unsupervised Learning,Mon 03/17,Clustering,Panopto,video,https://notredame.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=550c09db-9c29-4e62-8e91-b2a30158051d
Unsupervised Learning,Mon 03/17,Clustering,Clustering Visualizations,notebook,https://colab.research.google.com/drive/1WWysdY8e08f9tEC_P_lxt0INBAzmx8yn?usp=sharing
Unsupervised Learning,Mon 03/17,Clustering,GMM Clustering,notebook,https://colab.research.google.com/drive/1tYH-ZkSDrRlJlPKxKsY89SSR01teZ0dr?usp=sharing
Unsupervised Learning,Mon 03/17,Clustering,Hierarchical (StatQuest),video,https://youtu.be/7xHsRkOdVwo?si=f8UkfIYcaxpyEUVk
Unsupervised Learning,Mon 03/17,Clustering,K-Means (StatQuest),video,https://youtu.be/4b5d3muPQmA?si=T2ow71QcEXdbKt7V
Unsupervised Learning,Wed 03/19,Dimensionality Reduction,Slides,reading,https://drive.google.com/file/d/12k7Fo6H--pTopwEGCgSURhvqC4OrIjT6/view?usp=sharing
Unsupervised Learning,Wed 03/19,Dimensionality Reduction,PML - Section 20.1,reading,https://probml.github.io/pml-book/book1.html
Unsupervised Learning,Wed 03/19,Dimensionality Reduction,ISLP - Section 12.2,reading,https://www.statlearning.com/
Unsupervised Learning,Wed 03/19,Dimensionality Reduction,UML - Chapter 23.1,reading,https://www.cs.huji.ac.il/~shais/UnderstandingMachineLearning/copy.html
Unsupervised Learning,Wed 03/19,Dimensionality Reduction,PCA Visualization,notebook,https://colab.research.google.com/drive/1v1DV3oqt-XiMxsqTGyek6stAJ_S8LjeJ?usp=sharing
Unsupervised Learning,Wed 03/19,Dimensionality Reduction,Covariance (StatQuest),video,https://youtu.be/qtaqvPAeEJY?si=bw-zWo3JmyX0PvGg
Unsupervised Learning,Wed 03/19,Dimensionality Reduction,PCA (Short) - Statquest,video,https://youtu.be/HMOI_lkzW08?si=MkLlaC0hgAeh9009
Unsupervised Learning,Wed 03/19,Dimensionality Reduction,PCA - Statquest,video,https://youtu.be/FgakZw6K1QQ?si=rvTJ67NAVVYZhoOh
Unsupervised Learning,Wed 03/19,Dimensionality Reduction,t-SNE (StatQuest),video,https://youtu.be/NEaUSP4YerM?si=lME2kIla7hilnX4w
Applied ML,Mon 03/24,Practicum - Exploratory Data Analysis,Slides,reading,https://drive.google.com/file/d/18-v8reGHy-6YXVObOnUGqyizC0zW7GYX/view?usp=sharing
Applied ML,Mon 03/24,Practicum - Exploratory Data Analysis,Practicum,notebook,https://drive.google.com/file/d/1dWiGow2faAKcG3s0XDem1r0WpYJPn6Al/view?usp=sharing
Applied ML,Mon 03/24,Practicum - Exploratory Data Analysis,Confusion Matrix (StatQuest),video,https://youtu.be/Kdsp6soqA7o?si=g3ssfI10Oqdms09K
Applied ML,Mon 03/24,Practicum - Exploratory Data Analysis,ROC/AUC (StatQuest),video,https://youtu.be/4jRBRDbJemM?si=5sp5qUoMbHvygXYP
ML to DL,Wed 03/26,Multi-Layer Perceptrons (FFNs),Slides,reading,https://drive.google.com/file/d/1UDZuhHbDqn7kjcZP4KIggRrfLBb_OQ64/view?usp=sharing
ML to DL,Wed 03/26,Multi-Layer Perceptrons (FFNs),FCA - Section 8.1 (Until 8.1.1),reading,https://artint.info/3e/html/ArtInt3e.Ch8.html
ML to DL,Wed 03/26,Multi-Layer Perceptrons (FFNs),PML - Section 13.2,reading,https://probml.github.io/pml-book/book1.html
ML to DL,Wed 03/26,Multi-Layer Perceptrons (FFNs),"ISLP - Sections 10.1, 10.2",reading,https://www.statlearning.com/
ML to DL,Wed 03/26,Multi-Layer Perceptrons (FFNs),D2L - Sections 5.1 and 5.2,reading,https://d2l.ai/chapter_multilayer-perceptrons/index.html
ML to DL,Wed 03/26,Multi-Layer Perceptrons (FFNs),UML - Sections 20.1 - 20.5,reading,https://www.cs.huji.ac.il/~shais/UnderstandingMachineLearning/copy.html
ML to DL,Wed 03/26,Multi-Layer Perceptrons (FFNs),Panopto,video,https://notredame.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=64dff764-0306-4caa-8e38-b2ac01594013
ML to DL,Wed 03/26,Multi-Layer Perceptrons (FFNs),Harvard CS50 (0:00 - 16:00),video,https://www.youtube.com/watch?v=J1QD9hLDEDY
ML to DL,Wed 03/26,Multi-Layer Perceptrons (FFNs),Stanford CS221,video,https://www.youtube.com/watch?v=pnKXgBHuN58&list=PLoROMvodv4rOca_Ovz1DvdtWuz8BfSWL2&index=11
ML to DL,Wed 03/26,Multi-Layer Perceptrons (FFNs),MIT 6.034,video,https://www.youtube.com/watch?v=uXt8qF2Zzfo
ML to DL,Wed 03/26,Multi-Layer Perceptrons (FFNs),Simple FFN Visualization,notebook,https://colab.research.google.com/drive/14S8IbQQ59TNdJAF0jqGVKjh4kpu3tT_L?usp=sharing
ML to DL,Wed 03/26,Multi-Layer Perceptrons (FFNs),Neural Networks (StatQuest),video,https://youtu.be/CqOfi41LfDw?si=uc3frgwCzGIqxuQN
ML to DL,Wed 03/26,Multi-Layer Perceptrons (FFNs),pytorch (StatQuest),video,https://youtu.be/FHdlXe1bSe4?si=jrQBr_XpoS7moqoO
ML to DL,Wed 03/26,Multi-Layer Perceptrons (FFNs),Matrix Math (StatQuest),video,https://youtu.be/ZTt9gsGcdDo?si=WPN9Vxtbm_94C-nq
ML to DL,Mon 03/31,Gradient Descent and Backpropagation,Slides,reading,https://drive.google.com/file/d/16-tRoAj_wEKP0-jMXBMLXsoZwM0chjAg/view?usp=sharing
ML to DL,Mon 03/31,Gradient Descent and Backpropagation,FCA - Sections 8.1.1 and 8.2,reading,https://artint.info/3e/html/ArtInt3e.Ch8.S1.html
ML to DL,Mon 03/31,Gradient Descent and Backpropagation,PML - Section 13.3,reading,https://probml.github.io/pml-book/book1.html
ML to DL,Mon 03/31,Gradient Descent and Backpropagation,ISLP - Section 10.7,reading,https://www.statlearning.com/
